                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.40198,                0.24931,                 1.0421,                0.97843,                0.95598,                0.98103,                0.90988,                0.41971,                0.28023,                 1.0643,              0.0078418,              0.0078418,              0.0078418
                    112,                0.38825,                0.24476,                 1.0302,                 0.9785,                0.92861,                0.98103,                0.91527,                0.40761,                0.26871,                 1.0283,               0.007822,               0.007822,               0.007822
                    113,                0.40319,                0.25242,                 1.0377,                0.97852,                0.95237,                0.98727,                0.91972,                0.40747,                0.24808,                  1.026,              0.0078022,              0.0078022,              0.0078022
                    114,                0.39676,                0.24423,                 1.0287,                0.96761,                0.94279,                0.97965,                0.91818,                0.39444,                0.27043,                 1.0184,              0.0077824,              0.0077824,              0.0077824
                    115,                0.39534,                 0.2481,                 1.0315,                0.99199,                 0.9123,                0.96701,                0.90131,                0.39401,                0.28628,                 1.0105,              0.0077626,              0.0077626,              0.0077626
                    116,                0.39256,                0.24085,                 1.0246,                0.97848,                 0.9398,                0.97615,                0.91864,                0.38607,                0.25173,                0.99968,              0.0077428,              0.0077428,              0.0077428
                    117,                0.39726,                0.24494,                 1.0348,                0.98148,                0.93638,                0.97833,                0.90896,                0.40513,                0.26127,                 1.0336,               0.007723,               0.007723,               0.007723
                    118,                0.39049,                0.24036,                 1.0283,                0.98444,                0.93501,                0.97054,                  0.914,                0.38987,                0.26623,                 1.0377,              0.0077032,              0.0077032,              0.0077032
                    119,                0.38786,                0.23422,                 1.0245,                0.96754,                0.94438,                0.97986,                0.91473,                0.40968,                 0.2635,                  1.059,              0.0076834,              0.0076834,              0.0076834
                    120,                0.39074,                0.24173,                 1.0281,                 0.9705,                0.92944,                0.97141,                 0.9048,                0.43322,                0.28879,                 1.0728,              0.0076636,              0.0076636,              0.0076636
                    121,                0.38775,                0.23775,                 1.0295,                0.98617,                0.93536,                0.97236,                0.90248,                0.40169,                0.26446,                 1.0336,              0.0076438,              0.0076438,              0.0076438
                    122,                0.39234,                0.24002,                 1.0351,                0.98568,                 0.9495,                0.97995,                0.90521,                0.40724,                 0.2531,                 1.0381,               0.007624,               0.007624,               0.007624
                    123,                0.39095,                0.24047,                 1.0341,                0.96902,                0.96143,                0.98038,                0.91351,                0.40073,                0.25253,                 1.0456,              0.0076042,              0.0076042,              0.0076042
                    124,                 0.3844,                0.23809,                 1.0275,                0.97927,                 0.9465,                0.98517,                0.92342,                0.39215,                0.24921,                 1.0111,              0.0075844,              0.0075844,              0.0075844
                    125,                0.38951,                0.23529,                 1.0286,                0.96918,                0.96342,                0.98469,                0.92506,                0.40818,                0.24503,                  1.045,              0.0075646,              0.0075646,              0.0075646
                    126,                0.39279,                0.23947,                 1.0313,                  0.964,                0.95831,                0.98514,                0.92042,                0.41514,                0.25003,                 1.0819,              0.0075448,              0.0075448,              0.0075448
                    127,                0.38681,                0.24014,                 1.0231,                0.96865,                0.94245,                0.98052,                0.91432,                0.40579,                0.28041,                 1.0485,               0.007525,               0.007525,               0.007525
                    128,                0.38342,                0.23294,                 1.0274,                0.97994,                0.94014,                0.97655,                0.91057,                0.40306,                0.27503,                 1.0367,              0.0075052,              0.0075052,              0.0075052
                    129,                0.38459,                0.23629,                 1.0258,                0.97164,                0.93538,                0.98234,                0.91831,                0.40443,                0.26612,                 1.0296,              0.0074854,              0.0074854,              0.0074854
                    130,                0.37417,                0.23023,                 1.0166,                 0.9756,                0.95677,                0.98514,                0.91468,                0.40753,                0.25481,                 1.0318,              0.0074656,              0.0074656,              0.0074656
                    131,                0.38887,                0.23877,                 1.0267,                 0.9768,                0.95178,                0.98522,                0.92259,                 0.3996,                0.25079,                 1.0286,              0.0074458,              0.0074458,              0.0074458
                    132,                0.39073,                0.23443,                 1.0265,                0.97484,                0.94176,                0.98194,                 0.9114,                0.41304,                0.26929,                 1.0425,               0.007426,               0.007426,               0.007426
                    133,                0.37545,                 0.2307,                 1.0232,                0.96991,                0.95477,                0.98595,                0.91992,                0.41411,                0.26305,                 1.0535,              0.0074062,              0.0074062,              0.0074062
                    134,                0.38571,                0.23293,                 1.0252,                0.97825,                0.94717,                0.98267,                0.91705,                0.41484,                0.26193,                 1.0464,              0.0073864,              0.0073864,              0.0073864
                    135,                0.38018,                0.23188,                  1.012,                0.98627,                0.94878,                 0.9854,                0.90983,                0.40618,                0.25328,                 1.0434,              0.0073666,              0.0073666,              0.0073666
                    136,                0.37507,                0.23651,                 1.0169,                0.98231,                0.94279,                0.97635,                0.91204,                0.40011,                0.27662,                 1.0298,              0.0073468,              0.0073468,              0.0073468
