                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.47907,                0.31533,                 1.0733,                0.95418,                0.92177,                0.96749,                 0.8758,                0.45847,                0.31589,                 1.0652,              0.0085942,              0.0085942,              0.0085942
                     74,                0.47622,                0.31483,                  1.071,                0.97985,                0.91553,                0.96716,                 0.8638,                0.49419,                0.35212,                 1.1279,              0.0085744,              0.0085744,              0.0085744
                     75,                 0.4796,                 0.3164,                 1.0844,                0.96403,                0.90765,                0.96767,                0.87652,                0.46804,                0.32846,                 1.0738,              0.0085546,              0.0085546,              0.0085546
                     76,                0.48069,                   0.32,                 1.0831,                0.95296,                0.93593,                0.97338,                0.87246,                0.46439,                0.32579,                 1.0659,              0.0085348,              0.0085348,              0.0085348
                     77,                0.47107,                0.31127,                 1.0727,                0.94354,                0.92845,                0.97303,                0.87924,                0.48046,                0.33963,                 1.0857,               0.008515,               0.008515,               0.008515
                     78,                 0.4649,                0.29894,                 1.0671,                0.97025,                 0.9011,                0.95951,                 0.8797,                0.45676,                0.35977,                 1.0494,              0.0084952,              0.0084952,              0.0084952
                     79,                0.47665,                0.31199,                  1.083,                0.96457,                0.91963,                 0.9719,                0.87564,                0.47748,                0.35269,                 1.0883,              0.0084754,              0.0084754,              0.0084754
                     80,                 0.4586,                0.29997,                 1.0681,                0.96154,                0.92373,                0.97126,                0.87814,                0.45571,                0.32979,                   1.07,              0.0084556,              0.0084556,              0.0084556
                     81,                 0.4739,                0.30796,                  1.072,                0.95155,                0.92489,                0.96755,                0.88811,                0.43875,                0.30986,                 1.0314,              0.0084358,              0.0084358,              0.0084358
                     82,                0.46357,                0.31025,                  1.064,                0.96132,                0.92262,                0.96405,                0.88464,                0.44832,                0.33774,                 1.0521,               0.008416,               0.008416,               0.008416
                     83,                0.46237,                0.29415,                 1.0719,                0.96636,                 0.9325,                0.96573,                0.88306,                0.45767,                0.31348,                 1.0709,              0.0083962,              0.0083962,              0.0083962
                     84,                0.45727,                0.30788,                 1.0706,                0.97137,                0.91958,                0.96152,                0.87475,                0.47708,                0.35455,                  1.091,              0.0083764,              0.0083764,              0.0083764
                     85,                0.46849,                0.29626,                 1.0651,                0.97177,                0.91952,                0.97857,                0.89177,                0.43894,                0.30212,                 1.0538,              0.0083566,              0.0083566,              0.0083566
                     86,                0.46463,                0.29853,                 1.0718,                0.96065,                0.92635,                 0.9666,                0.88385,                0.45256,                0.31488,                 1.0777,              0.0083368,              0.0083368,              0.0083368
                     87,                0.44812,                0.28943,                 1.0598,                0.97787,                0.92445,                0.96742,                0.87993,                0.47761,                0.34152,                 1.0823,               0.008317,               0.008317,               0.008317
                     88,                0.47066,                0.31017,                 1.0703,                0.95664,                 0.9316,                0.97832,                0.88763,                 0.4517,                0.31376,                 1.0738,              0.0082972,              0.0082972,              0.0082972
                     89,                0.45765,                0.29463,                 1.0669,                0.98037,                0.92672,                0.97805,                0.89493,                0.45127,                0.30283,                 1.0581,              0.0082774,              0.0082774,              0.0082774
                     90,                0.45828,                0.29493,                 1.0608,                0.95774,                0.91918,                0.96108,                 0.8783,                0.47751,                 0.3546,                  1.096,              0.0082576,              0.0082576,              0.0082576
                     91,                0.45898,                0.30075,                 1.0715,                0.96571,                0.92933,                0.97406,                0.88081,                0.45567,                0.30882,                  1.064,              0.0082378,              0.0082378,              0.0082378
                     92,                0.45562,                0.29171,                 1.0704,                0.98381,                0.92947,                0.97231,                0.88901,                0.44591,                0.29402,                 1.0559,               0.008218,               0.008218,               0.008218
                     93,                0.45954,                0.29797,                 1.0763,                 0.9763,                0.91443,                0.96272,                0.88484,                0.46249,                0.34064,                  1.087,              0.0081982,              0.0081982,              0.0081982
                     94,                0.45982,                0.30368,                 1.0668,                0.98668,                 0.9199,                0.97797,                0.88244,                0.46435,                0.30941,                 1.0824,              0.0081784,              0.0081784,              0.0081784
                     95,                0.45349,                0.29191,                 1.0653,                0.96162,                0.94052,                 0.9754,                0.88751,                0.43949,                0.30512,                 1.0446,              0.0081586,              0.0081586,              0.0081586
                     96,                0.45278,                 0.2919,                 1.0623,                0.96922,                0.92919,                0.97584,                0.89376,                 0.4414,                0.30503,                 1.0506,              0.0081388,              0.0081388,              0.0081388
                     97,                0.44976,                0.29859,                 1.0573,                0.96901,                0.92374,                0.97148,                0.87702,                0.45906,                0.33401,                 1.0856,               0.008119,               0.008119,               0.008119
                     98,                0.45905,                0.29024,                 1.0661,                0.96367,                0.92971,                0.97275,                0.88889,                0.44776,                0.31952,                 1.0536,              0.0080992,              0.0080992,              0.0080992
                     99,                0.44961,                0.28572,                 1.0648,                0.97308,                0.92152,                0.97527,                0.89377,                0.45339,                0.31624,                 1.0537,              0.0080794,              0.0080794,              0.0080794
